,headline,global_index,index,con,newsOrder,word_count
44,"Boris Johnson Proposes Bill to Override Brexit Deal, Causing divisions Within Tory Party",821,gpt3,1,1,13
49,Revelation at Senate Hearing: Seven-State Drought crisis caused by Climate Change,834,gpt3,1,14,11
58,"""23.4% of the Global Ocean Floor Has Been Mapped""",836,gpt3,1,16,9
65,Nearly 20 million lives saved by COVID-19 vaccines in first year,828,gpt3,1,8,11
69,Scientists Discover New Bacteria That's the Size of a Human Eyelash,838,gpt3,1,18,11
73,Why American Lawns Are Bad for the Environment,832,gpt3,1,12,8
82,"""Federal Official Warns of Severe Water Shortages in Western US""",830,gpt3,1,10,10
88,researchers use burial dating to accurately date early human fossils,839,gpt3,1,19,10
91,Report: U.S. Forest Service Underestimated Climate Change When Planning Controlled Burn,833,gpt3,1,13,11
97,Japan Braces for Return of Foreign Tourists with English-Speaking Rickshaw Drivers,827,gpt3,1,7,11
107,Climate Change Disasters Pile Up as Temperatures Continue to Rise,831,gpt3,1,11,10
112,New evidence suggests that wildfires were present on Earth 430 million years ago.,835,gpt3,1,15,13
117,New COVID-19 vaccines on the way: Which one should you choose?,829,gpt3,1,9,11
2,Qatar and Egypt Work to Improve Diplomatic and Economic Ties,622,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,0,10
10,"Libyan factions reach ""broad consensus"" in election talks",52,7WX00yoU07X1UKaG8WH0cYKB25S2,2,3,8
13,Worldwide fertiliser shortage fuels food insecurity fears,325,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,4,7
22,"30,000-year-old Woolly Mammoth Uncovered in Canada, First Since 1948",639,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,17,9
24,"Amid Vaccination Requirement Enforcement and Low Recruitment, US Military Slow to let Unvaccinated Troops go",9,4G2vztY28Fee0nAkx43fXlepBSg1,2,5,15
32,"Booster Shots Protect Us from Covid-19... For Now, Some Scientist Believe.",533,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,6,11
36,U.S. No Closer to Nuclear Deal with Iran,384,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,2,8
45,Northern Ireland Protocol Bill passes second reading,45,7WX00yoU07X1UKaG8WH0cYKB25S2,2,1,7
53,Record Droughts in the Colorado River Threaten Western United States,60,7qDm7De2l7ep8kn8fz4BUF52GF32,2,14,10
56,Data Sharing and Mapping Efforts Increase Percent of Ocean Floor Mapped to About 25%,12,4G2vztY28Fee0nAkx43fXlepBSg1,2,16,14
64,How Scientist's Covid-19 Vaccine Steered a Devastating Pandemic,525,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,8,8
71,Caribbean Mangrove: The Biggest Bacteria Discovered Yet,527,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,18,7
74,American Lawn Upkeep Is Killing The Planet: How to Make Your Lawn Environment Friendly,638,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,12,14
81,Decades of Drought Leave Western States Budgeting Water,18,4G2vztY28Fee0nAkx43fXlepBSg1,2,10,8
84,Burial Dating Used to Estimate South African Cave Remains,78,7qDm7De2l7ep8kn8fz4BUF52GF32,2,19,9
92,Climate Change to Blame in Largest Wildfire in New Mexico History,65,7qDm7De2l7ep8kn8fz4BUF52GF32,2,13,11
96,"Japan Fears COVID19 Won't Go Away, Limits Number of Daily Tourists",634,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,7,11
104,"Researchers Fear Impact of Climate Change Won't End: ""We Will Lose All Hope of Somehow Fixing the Problem""",630,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,11,18
109,Oldest Evidence of Wildfire Identified in South Wales,79,7qDm7De2l7ep8kn8fz4BUF52GF32,2,15,8
119,"Pfizer-BioNTech, Moderna, and Novavax Develop New COVID-19 Boosters to Keep Up with Emerging Variants",19,4G2vztY28Fee0nAkx43fXlepBSg1,2,9,14
3,Russian agression has crippling effects as fertilizer that farmers rely on skyrockets in price.,592,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,4,14
11,US and Iran in Stalemate after Former President Trump Pulls Out of 2015 Nuclear Deal,13,4G2vztY28Fee0nAkx43fXlepBSg1,2,2,15
16,Technology continues to shed new light on the unseen and often unknown seafloor.,591,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,16,13
21,"Climate change killing over 2,000 livestock in Kansas.",272,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,11,8
24,The Colorado River: How States are Fighting the Drought,528,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,10,9
33,Climate Change Affecting Water Supply due to Diminishing Colorado River,519,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,14,10
37,Japanese small businesses hopeful as COVID restrictions loosen to encourage tourism.,585,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,7,11
43,U.S. Forest Service vows to alter fire prevention strategy due to climate change,326,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,13,13
52,Remains Discovered in South Africa Could Give Us Better Evolutionary Timeline,632,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,19,11
59,Brexit Override Bill Causes Even More Uncertainty in the UK,515,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,1,10
64,Miners uncover mummified wholly mammoth in NW Canada,332,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,17,8
69,Vaccines Prevented 19.8 Million Deaths; No Explanation For Pre-Vaccine Mutations,637,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,8,10
77,$5 billion invested into Egypt may have gone down the drain.,261,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,0,11
82,Libya's Differences Over Voting Methods Leading to Continued Chaos,506,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,3,9
86,Scientists Discover New Large Bacteria,507,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,18,5
93,Scientists Say American Lawns Negatively Impact Climate Change,69,7qDm7De2l7ep8kn8fz4BUF52GF32,2,12,8
101,"Unvaccinated National Guard troops could continue to get pay, benefits",320,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,5,10
105,FDA to discuss fall COVID-19 booster recommendations,54,7WX00yoU07X1UKaG8WH0cYKB25S2,2,9,7
111,U.S. health authorities ponder whether to offer new COVID boosters,322,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,6,10
117,Scientists find oldest evidence of wildfire in South Wales,335,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,15,9
3,Scientists say lawn maintenance is harming the environment,328,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,12,8
7,"UN Ocean Conference Pushes Sea Maps, Hope To Forecast Climate Change",636,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,16,11
12,US Forest Service Report: Impact of Climate Change on Southwest Underestimated,625,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,13,11
18,Current COVID vaccine protection wanes over time,338,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,9,7
26,"Japanese shops, restaurants, eager for return of foreign visitors ",331,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,7,9
31,Bones that date back almost 3.7 million years ago have been found in South Africa.,275,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,19,15
36,"Farmers straining under global fertilizer shortage, soaring costs",56,7WX00yoU07X1UKaG8WH0cYKB25S2,2,4,8
47,"Borris Johnson's Attempt to Override Brexit Deal a ""Failure of Statecraft''",621,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,1,11
52,New Bacterial Species Discovered in Caribbean,72,7qDm7De2l7ep8kn8fz4BUF52GF32,2,18,6
56,Seven Western States Can Expect Diminished Water Supplies from Colorado River,399,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,14,11
64,Army Allows Unvaccinated Troops to Keep Pay and Benefits as Fear of Losing Troops Continues,623,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,5,15
68,COVID-19 Boosters: Getting Ahead or Following Behind?,508,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,6,7
76,Researchers: COVID vaccines saved 20M lives worldwide,327,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,8,7
78,Rival Libyan Factions Urged to Reach Consensus on Elections,396,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,3,9
88,Leaders of Qatar and Egypt to talk after years of tension,321,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,0,11
95,Drought to cut Colorado River water supply to seven states,330,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,10,10
98,"30,000 year old Wolly Mamoth was found by miner in Northern Canada.",277,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,17,12
106,IRAN continues to stymie efforts towards ANY Nuclear Deal.,590,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,2,9
113,Ancient charred remains found.,278,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,15,4
116,Heat and Humidity Kills Thousands of Cows in Kansas Reflecting Nationwide Deviations in Weather,6,4G2vztY28Fee0nAkx43fXlepBSg1,2,11,14
4,Climate Change Causing Water Usage Restrictions in Western United States,68,7qDm7De2l7ep8kn8fz4BUF52GF32,2,10,10
8,Choosing Best COVID Vaccine Perplexes Scientists,383,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,9,6
17,Baby Mommoth Uncovered in Canada,66,7qDm7De2l7ep8kn8fz4BUF52GF32,2,17,5
20,Scientists say lawns could harm the environment,44,7WX00yoU07X1UKaG8WH0cYKB25S2,2,12,7
26,Scientists Discover Unusual Giant Bacteria,2,4G2vztY28Fee0nAkx43fXlepBSg1,2,18,5
34,U.S. health officials debate offering new COVID-19 booster shot,43,7WX00yoU07X1UKaG8WH0cYKB25S2,2,6,9
38,All Army National guards must have the Covid-19 vaccine. Will everyone get the vaccine ? how will this affect the National guard?,266,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,5,22
47,COVID-19 vaccine prevented nearly 20 million deaths,55,7WX00yoU07X1UKaG8WH0cYKB25S2,2,8,7
48,Climate Change and the Unknown Consequences on Wildfires,500,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,13,8
54,Rising Fertilliser Prices Equals Lower Crops Around the World,526,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,4,9
61,DECADES of man-made climate change more apparent than ever as alarm bells ring across the scientific and academic communities.,582,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,11,19
69,No Sign of Breakthrough in Nuclear Deal Talk Between U.S. and Iran,71,7qDm7De2l7ep8kn8fz4BUF52GF32,2,2,12
74,25 million Americans face looming water crisis in the West as climate change impacts Colorado River.,581,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,14,16
78,Japan is ready To Flourish with Tourism after Covid-19 Restrictions,531,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,7,10
88,Rival Libyan factions come to the table in Egypt amidst ongoing turmoil from NATO sanctioned Gadhafi ouster.,597,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,3,17
95,"More of the ocean floor has been mapped properly, up about 23.4%",276,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,16,12
97,Boris Johnson's Brexit Deal Still In Flux,382,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,1,7
103,"""Burial Dating"" sheds new light on new remains of Human ancestors thought to date back almost 4 million years.",587,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,19,19
111,Evidence Found For 430 Million Year Old Wildfire,534,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,15,8
119,Qatar and Egypt Improving Ties,516,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,0,5
2,Ancient Charcoal Data Reveals Vegetation and Atmosphere 400 Million Years Ago,11,4G2vztY28Fee0nAkx43fXlepBSg1,2,15,11
10,"Global Tensions Impact Fertilizer Market, Potentially Fueling Food Scarcity",15,4G2vztY28Fee0nAkx43fXlepBSg1,2,4,9
17,Whole Preserved Baby Wolly Mammoth Found in Canada,501,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,17,8
21,"Climate change causing extreme weather, deadly humidity",40,7WX00yoU07X1UKaG8WH0cYKB25S2,2,11,7
29,Burial dating says South African human ancestors lived 3.7 million years ago,49,7WX00yoU07X1UKaG8WH0cYKB25S2,2,19,12
32,Researchers Agree Covid-19 Vaccines Saved Millions of Lives,7,4G2vztY28Fee0nAkx43fXlepBSg1,2,8,8
40,National Army Guard Demands Soldiers to be Vaccinated against Covid-19,536,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,5,10
45,U.S.-Iran talks fail to revive nuclear deal,324,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,2,7
51,"After Years of Conflict, Libya Continues Talks of Elections Mediated by U.N.",5,4G2vztY28Fee0nAkx43fXlepBSg1,2,3,12
54,Mixing COVID19 Vaccine Types Found Effective Strategy for Boosting,627,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,9,9
62,Scientists discover bacteria species visible to naked eye,337,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,18,8
70,Climate Change Affecting Water Supply due to Diminishing Colorado River,518,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,10,10
72,Borris Johnson's Brexit Override Causes Controversial Opinions among World Leaders,529,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,1,10
83,Egypt summit becomes center stage as relations brighten between Qatar and rival Arab states.,580,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,0,14
88,Will the new and improved Covid-19 boost shots be released this fall?,267,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,6,12
91,Japan Incrementally Reopens to Foreign Visitors after COVID-19,1,4G2vztY28Fee0nAkx43fXlepBSg1,2,7,8
97,States are Working to Save Colorado River from Drought,538,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,14,9
104,Mowing Your Lawn? It Might be Time to Stop,510,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,12,9
111,Mistaken Fire-fighting Strategy Imperiled Residents in New Mexico,389,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,13,8
119,"Mapping the Seafloor - Locals, Autonomous Technology, or Archives. How Will We Do It?",503,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,16,14
5,"As Colorado River Reservoirs Depletion Accelerates, States Plan for Water Shortage",4,4G2vztY28Fee0nAkx43fXlepBSg1,2,14,11
11,New Technique Backdates Human Ancestors By More than a Million Years,387,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,19,11
12,Ever-Changing COVID-19 Vaccine and Booster Information,64,7qDm7De2l7ep8kn8fz4BUF52GF32,2,9,6
22,Lack of Fertilizer Could Lead to Food Scarcity Around the World,511,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,4,11
24,Water Scarcity Hits The West Since 2000 Megadrought,628,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,10,8
30,Japan prepares for return of foreign tourists,51,7WX00yoU07X1UKaG8WH0cYKB25S2,2,7,7
40,UK Parliament allows Johnson's Brexit deal override bill to proceed,339,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,1,10
43,"U.S., Iran make no progress reviving 2015 nuclear deal ",46,7WX00yoU07X1UKaG8WH0cYKB25S2,2,2,9
50,Scientists say newly discovered bacteria is largest ever seen,47,7WX00yoU07X1UKaG8WH0cYKB25S2,2,18,9
55,We reap what we mow? Research shows keeping a tidy lawn actually can have adverse effects on our planet.,599,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,12,19
65,"Less than 25% of ocean floor mapped, worldwide mariners urged to switch on sonar
",53,7WX00yoU07X1UKaG8WH0cYKB25S2,2,16,14
66,President El-Sissi Hosts Qatar to Discuss Diplomatic and Economic Relations,62,7qDm7De2l7ep8kn8fz4BUF52GF32,2,0,10
73,"Wildfires a way of life for nearly 450 million years, new evidence shows.",583,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,15,13
81,Spring heat wave is latest evidence of climate change,333,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,11,9
86,Amazing' Discovery Made of Woolly Mammoth in Canada,385,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,17,8
94,"20 million lives were saved due to the covid-19 shot, but many more deaths could have been prevented...",270,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,8,18
98,U.S. Forest Service Botches Prescribed Burn Due to Climate Change,17,4G2vztY28Fee0nAkx43fXlepBSg1,2,13,10
105,"Unvaccinated National Guard soldiers could face lost pay, expulsion",50,7WX00yoU07X1UKaG8WH0cYKB25S2,2,5,9
109,World Leaders Hope for Peaceful Talks with Libya Leaders this Week,539,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,3,11
115,Changing Nature of Coronavirus Baffles Scientists and Vaccine Makers Alike,393,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,6,10
0,Health Authorities in Debate on Modifying Current COVID-19 Boosters,61,7qDm7De2l7ep8kn8fz4BUF52GF32,2,6,9
10,"30,000 Baby Wolly Mammoth Stuns Scientists",520,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,17,6
14,US and Iran Discuss Nuclear Deals,535,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,2,6
20,"COVID-19 Vaccine Saves Lives, But How Many More Lives Could it Have Saved?",504,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,8,13
24,10% of Army National Guard Soldier Remain Unvaccinated Passed Deadline,76,7qDm7De2l7ep8kn8fz4BUF52GF32,2,5,10
32,Climate Change and Human Error Causing Forest Fires,522,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,13,8
38,Want to Help Save the Planet? Say Goodbye to your Lawn,532,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,12,11
45,Vaccine availability and stability strengthen the fight among ever-mutating Coronavirus.,598,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,9,10
48,Dating Wildfires Back 430 Million Years Reveals Earth's Oxygen Levels,392,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,15,10
54,25 Million Face Losing Access to Colorado River After Megadrought Since 2000,626,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,14,12
62,UN hoping for breakthrough in Libyan election talks,334,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,3,8
66,"Loss of 2,000 Cows Latest Evidence of Climate Change",381,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,11,9
74,Quatar and Egypt Leaders Discuss Relations,537,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,0,6
82," The key ingredient to growing crops in a shortage, could cost farmer their homes and consumers could see a shortage to.   ",265,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,4,21
88,Seven states face water supply cuts due to low Colorado River reservoir levels,59,7WX00yoU07X1UKaG8WH0cYKB25S2,2,10,13
91,Discovery of Larger than Normal Bacteria Challenges Limits to its Existence,388,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,18,11
96,Japan adding English staff.Could this possibly help the language barrier with tourism ?,264,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,7,13
106,Brexit deals confusion from Commons to Parliament as sides dig in.,584,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,1,11
111,Sea Maping Update from the UN Conference,524,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,16,7
117,Archeologists Use New Burial Dating Techniques on Human Ancestors,521,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,19,9
1,Could lawn care be contributing to the climate change and water pollution? Over 40 million acres of just green grass.,274,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,12,20
10,Completely intact frozen baby mammoth sparks fascination in Paleontologist community.,595,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,17,10
15,Researchers Frustrated After COVID19 Variant-Proof Vaccine Attempts Fail,633,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,6,8
20,"Boris Johnson's Proposal to Override Brexit Criticized by Conservative Party, Tories, Legal Experts, and EU leaders Alike",16,4G2vztY28Fee0nAkx43fXlepBSg1,2,1,17
24,Seafloor Map Update Given at Second UN Ocean Conference,75,7qDm7De2l7ep8kn8fz4BUF52GF32,2,16,9
31,Qatar and Egypt Meet to Discuss Diplomacy and Economics,0,4G2vztY28Fee0nAkx43fXlepBSg1,2,0,9
38,Global Fertilizer Shortage Fuels Fears of Food Scarcity,397,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,4,8
43,Drought to cut water supply to Western states,323,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,14,8
53,Refusal to Get Vaccinated a Concern for Maintaining National Guard Levels,398,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,5,11
54,Climate Change is Wrecking Havoc on our Planet- And Humans are to Blame,530,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,11,13
62,Arms Experts Believe US Exit Could Allow Weapons-Graded Uranium To Go Undetected by UN,620,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,2,14
68,Eye-popping bacteria found in mangroves stuns biologists.,596,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,18,7
74,Signs of Returning Tourism Heartens Japanese Merchants,391,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,7,7
78,"COVID vaccines save millions, but more could have been done.",593,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,8,10
84,"Public is concerned on the ""mix and match"" covid-19 booster shots. Are they really necessary? ",268,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,9,15
92,"Oldest Evidence of Wildfire Found in South Wales, And Its Fungus",631,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,15,11
97,"Libya-Cairo Deal ""Commendable"" After Decade of Conflict",624,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,3,7
106,Controlled burn expands to largest wildfire in state history,57,7WX00yoU07X1UKaG8WH0cYKB25S2,2,13,9
110,25 Million Americans could face water crisis as climate change continues to impact the West.,589,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,10,15
117,Burial Dating: The New Technique Helps More Accurately Determine the Evolution of Mankind,505,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,19,13
4,Northern Ireland Protocol Bill Passing Causes Debate in House of Commons,67,7qDm7De2l7ep8kn8fz4BUF52GF32,2,1,11
10,Emir's Visit to Egypt Signals Qatar's Warming Relations,380,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,0,8
12,Numbers Show COVID-19 Effective at Saving Lives,70,7qDm7De2l7ep8kn8fz4BUF52GF32,2,8,7
22,Japan to Slowly Open Up To Tourists,512,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,7,7
28,Drought and Death Brought Forth by Climate Change and Record High Temperatures,63,7qDm7De2l7ep8kn8fz4BUF52GF32,2,11,12
30,Welsh scientists discover evidence of prehistoric fungal wildfire,58,7WX00yoU07X1UKaG8WH0cYKB25S2,2,15,8
38,"Warmer, Drier West' Leads States to Conserve Water Levels",394,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,10,9
44,Iran and U.S. Talks in Deadlock,517,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,2,6
52,"Colorado River reservoirs drop to ""critical levels"" ",41,7WX00yoU07X1UKaG8WH0cYKB25S2,2,14,7
59,Controlled wildfire turns explodes and turns into the largest fire New Mexico has seen.,269,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,13,14
63,Lawns and Their Maintenance Contribute to Climate Change Danger,395,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,12,9
71,"Hifter, a military leader announced to run in December's elections.",262,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,3,10
76,"As COVID looks to become Endemic, authorities weigh new rounds of boosters this fall.  ",588,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,6,14
82,Increased Mapping of Global Ocean Floor Aids Safe Navigation,386,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,16,9
88,ARMY still silent on whether un-vaxxed will be forced out.,586,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,5,10
92,Already Have a COVID-19 Vaccine? It Might be Time for Another One,502,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,9,12
99,Mummified mammoth discovered in Canadian permafrost,48,7WX00yoU07X1UKaG8WH0cYKB25S2,2,17,6
102,Newly Discovered Caribbean Bacteria 5000 Times Bigger Than Most Others,635,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,18,10
109,Scientists: Burial dating shows early human fossils older than previously believed,329,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,19,11
117,African Countries Face Fertilizer Shortage,74,7qDm7De2l7ep8kn8fz4BUF52GF32,2,4,5
4,The largest reservoirs in the United States will see a huge decrease in water delivery. This will effect the water supply and Americans may have to cut back on their water usage.,271,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,10,32
6,Qatari and Egyptian leaders meet ahead of President Biden's visit,42,7WX00yoU07X1UKaG8WH0cYKB25S2,2,0,10
14,Seafloor maps are improving,336,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,16,4
23,"Supply Chain Issues Hits Fertiliser Supply: UN Reports Costs Tripled, Supply Nearly Cut In Half",629,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,4,15
26,Rethinking Lawns: More Sustainable Options out there,10,4G2vztY28Fee0nAkx43fXlepBSg1,2,12,7
35,Troops to Face No Consequences For Being Unvaccinated,513,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,5,8
36,Innovative Fossil Dating Technique Sheds Light on Early Human Evolution,8,4G2vztY28Fee0nAkx43fXlepBSg1,2,19,10
43,How the Covid Vaccine Works and Continues to Improve,523,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,9,9
