,headline,rank,comment,participant,sequence,global_index,index,con,newsOrder,word_count
11,US health authorities considering new COVID booster shots to better match recent changes of the shape-shifting coronavirus,5,Too long of a title,11,1,542,pYsoPM0aang4pLBPqHbUlrc285Y2,3,6,17
12,"COVID vaccines saved 20M lives in 1st year, scientists say",2,"Starting the article with COVID Vaccines is great and covers SEO, and backing it up with ""scientist say"" adds validation",11,2,808,original,0,8,10
13,Nearly 20 million lives saved by COVID-19 vaccines in first year,4,This title is attractive but does not explain the main topic of the article,11,2,828,gpt3,1,8,11
14,COVID vaccines save nearly  million lives in first year,3,"This article title is ok but lacks the validation of ""scientist say""",11,2,745,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,8,9
15,COVID  Vaccines Could Have Prevented Even More Deaths,1,Clear-Sums up the overall subject of the article,11,2,250,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,8,8
16,Millions more deaths could have been prevented if vaccination targets had been met,5,This title does not mention COVID at all and thus lacks information and keywords,11,2,559,pYsoPM0aang4pLBPqHbUlrc285Y2,3,8,13
17,Vaccines Prevented 19.8 Million Deaths; No Explanation For Pre-Vaccine Mutations,6,This article is too specific and includes 2 separate topics along with bad grammar,11,2,637,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,8,10
18,Army National Guard Faces Recruiting Crisis Amid Covid Vaccine Deadline,1,Clear title - Contains subject and issue that has arised.,11,3,825,gpt3,1,5,10
19,"Army National Guard Members Refuse Vaccine, Face Potential Expulsion",5,This is not the main subject of the article. Just a highlight in the article,11,3,182,IUccO19kQBYLnovtvPkCbJuUIZ22,5,5,9
20,Deadline passes and 1 in 10 Army National Guard soldiers still unvaccinated for Covid. Will they be expelled?,4,This title sums up the article but it needs to be more concise. The sentence is too long.,11,3,805,original,0,5,18
21," Army National Guard misses Covid vaccine deadline, faces recruiting crisis",2,This title is good as well. The topic of recruiting crisis should be out before the COVID vaccine deadline,11,3,245,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,5,10
22,National Army Guard Demands Soldiers to be Vaccinated against Covid-19,6,The title of the Army is wrong and it's also not the subject of the article.,11,3,536,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,5,10
23,Army National Guard facing recruiting crisis amid vaccination deadline,3,This title does not include COVID which is a prominent subject and good for SEO considering the article is about it,11,3,446,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,5,9
24,Boris Johnson's Bill to Override Brexit Deal Faces Criticism from MPs,1,This title is concise and contains multiple keywords and topics from the article,11,4,768,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,1,11
25,"Boris Johnson Proposes Bill to Override Brexit Deal, Causing divisions Within Tory Party",3,This title is great. I think the MPs are more important and often mentioned more in the article so I prepfer MP in the title.,11,4,821,gpt3,1,1,13
26,Theresa May speaks out against Johnson's Brexit bill,6,This was not the highlight of the article and was only a blurb in the article,11,4,123,CFhnIRlNuSSnz5UpZM17jMA3pUg1,5,1,8
27,Brexit deals confusion from Commons to Parliament as sides dig in.,5,This title is very general and doesn't contain primary keywords of the article.,11,4,584,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,1,11
28,UK Plan to Override Brexit Deal Passes Hurdle With Tory Dissent,2,This title is concise and straight to the point. I could see it being a headliner on an online news app.,11,4,801,original,0,1,11
29," UK MPs vote to override Brexit deal, risking trade war with EU",4,Title is ok. Being more specific and mentioning Boris Johnson provides better specificity,11,4,211,LThoEJBs8INX22KfDMJT09LBP8F2,4,1,12
30,Kansas Cows Killed by Record-Breaking Heat Wave,4,This title is eye catching but does not convey the overall topic of the article.,11,5,488,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,11,7
31,Over one-third of the US population is under extreme heat advisory,6,This article contains no important keywords like Climate change,11,5,717,uIQjNU1bgVfp0K8B7po65McKCZF2,5,11,11
32,Climate Change Disasters Pile Up as Temperatures Continue to Rise,1,This title is attractive and effectively showcases the subject of the article.,11,5,831,gpt3,1,11,10
33,Lethal 'Wet-Bulb' Effect Grips Nation Amid Record-Breaking Heat Wave,2,This title makes me curious about the 'wet bulb' effect and has my interest to find out what it is,11,5,560,qiebo7O3TBach9qu1AqrWu2cAB23,3,11,9
34,"It's not summer yet, but climate change is already showing its teeth in 2022",3,"This title is more appropiate as a Buzzfeed title. It is attractive, but it's very personable and too general. ",11,5,811,original,0,11,14
35,Heat and Humidity Kills Thousands of Cows in Kansas Reflecting Nationwide Deviations in Weather,5,This title would be great if it mentioned Climate Change at the end of the title.,11,5,6,4G2vztY28Fee0nAkx43fXlepBSg1,2,11,14
36,Why American Lawns Are Bad for the Environment,4,"This title doesn't need ""American lawns"" and ""bad for the environment"" isn't very compelling and attention grabbing like the others.",11,6,832,gpt3,1,12,8
37,Mowing Your Lawn? It Might be Time to Stop,3,"This title has my curiosity but it'd be more attractive with 'scary' phrases like ""killing the planet"" and ""threat to the planet"" ",11,6,510,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,12,9
38,Is the American Lawn a Threat to the Planet?,2,"This title is attractive as well. I don't think that ""American"" lawn needs to be in the title; after all, this applies worldwide.",11,6,479,lSToD6u7LuZJk20NqhMUk3jy22S2,4,12,9
39," Lawns are worst choice for ecological sustainability, says expert",5,"This title, although factual, is not as attention grabbing as the others. It can work for a professional and highly respected news source, however.",11,6,551,pYsoPM0aang4pLBPqHbUlrc285Y2,3,12,9
40,Is Your Lawn Killing the Planet?,1,This title is very attention-grabbing and grabs my curiousity. It sounds like something out of sci-fi. I'd read this article in a hearbeat. it also somewhat conveys the topic of the article.,11,6,411,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,12,6
41,"Leaf blowers, lawn mowers and fertilizer: How lawns contribute to climate change",6,This title is boring and is too amateur of a title. it reminds me of a blog title I'd see on Facebook.,11,6,812,original,0,12,12
42,Stunningly preserved mammoth calf discovered in Canada,5,"""Stunningly preserved"" is probably the worst way to start the title of this article. The choice of words is bad.",11,7,371,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,17,7
43,"30,000-year-old baby woolly mammoth found in Canada",1,"This article includes specifics and conveys the topic of the article to the T. The 30,000 adds a valuable wow factor. ",11,7,837,gpt3,1,17,7
44,Preserved Woolly Mammoth Discovered In Canada,4,"""Preserved"" is great word usage, but the title is not eye-catching and is too general. ",11,7,189,IUccO19kQBYLnovtvPkCbJuUIZ22,5,17,6
45,Intact wooly mammoth baby uncovered in northwestern Canada,2,This title is great and covers the subject of the article. It feels more like a title for a quick read news app.,11,7,817,original,0,17,8
46,Baby mammoth found nearly whole and frozen in permafrost in Canada,3,"This title is great but it is not as compelling as the 1st title. Should you include the ""30,000 year old"" in this, then it would be #1",11,7,651,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,17,11
47,Baby Mommoth Uncovered in Canada,5,This title is very general and could rather serve as a caption of the photo in the article.,11,7,66,7qDm7De2l7ep8kn8fz4BUF52GF32,2,17,5
48,The Colorado River: How States are Fighting the Drought,6,"This title is not appealing. It is a ""pass over"" title where I'd see it and skip it. ",11,8,528,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,10,9
49,Record-Low Reservoir Levels Prompt Water Restrictions in Western States,1,This title is most appropiate and professional,11,8,136,CFhnIRlNuSSnz5UpZM17jMA3pUg1,5,10,9
50,"""Federal Official Warns of Severe Water Shortages in Western US""",3,Not sure why the quotes are there. It does not make the title more eye-catching unless it's a contrversial quote.,11,8,830,gpt3,1,10,10
51,Ongoing drought causes water scarcity in Western United States,4,This title is very general and boring. It needs more keywords like Colorado River,11,8,433,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,10,9
52,Federal Official Warns of Severe Water Cuts for  States,5,"This title is not eye-catching and is missing keywords like Western States. Even then, it's still relatively boring. ",11,8,286,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,10,9
53,Moment of reckoning:' Federal official warns of Colorado River water supply cuts,2,"This title is attention grabbing from the first quote. It should add ""in Western States"" at the end",11,8,810,original,0,10,12
54,Qatar's emir in Cairo for 1st time since Arab spat resolved,2,This title is attractive because it suggest some controversy and makes it more interesting,11,9,800,original,0,0,11
55,Qatar's Emir Arrives in Cairo for Talks with President el-Sissi,4,This title seems too basic and uninteresting. It is very standard.,11,9,820,gpt3,1,0,10
56,Qatar and Egypt Look to Improve Relations Ahead of Biden's Middle East Trip,1,This title contains attractive keywords and information about the article,11,9,464,lSToD6u7LuZJk20NqhMUk3jy22S2,4,0,13
57,Qatari emir arrives in Cairo for long-awaited talks with president,3,This title is basic but sums up the article and has my curiosity as to what they'll talk about.,11,9,642,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,0,10
58,Qatar emir and president discuss key regional issues,5,This title lacks important keywords such as the name of the president and what country,11,9,413,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,0,8
59,Qatar and Egypt Improving Ties,6,This title is boring and is not engaging at all.,11,9,516,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,0,5
60,"Colorado River reservoirs drop to ""critical levels"" ",4,"""Critical levels"" has me curious about what the article is about, but it needs a second sentence to add value",11,10,41,7WX00yoU07X1UKaG8WH0cYKB25S2,2,14,7
61,Moment of reckoning:' Federal official warns of Colorado River water supply cuts,3,This title is eye-catching because of the initial quote.,11,10,814,original,0,14,12
62,Federal official warns of water shortages in Western US,5,This title is very basic and standard,11,10,564,qiebo7O3TBach9qu1AqrWu2cAB23,3,14,9
63,Federal official warns of water cuts to Western states due to diminished Colorado River reservoirs,1,Title is clear and informative. Sums up article perfectly.,11,10,103,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,14,15
64," Drought continues to plague Western US, water shortages to intensify",2,This title is very appropiate and professional. It's also typical of the style I see for news articles.,11,10,465,lSToD6u7LuZJk20NqhMUk3jy22S2,4,14,10
65,Revelation at Senate Hearing: Seven-State Drought crisis caused by Climate Change,6,This title does is not appealing,11,10,834,gpt3,1,14,11
66,"Farmers straining under global fertilizer shortage, soaring costs",1,"This title, though basic, sums up the article better than the rest",11,11,56,7WX00yoU07X1UKaG8WH0cYKB25S2,2,4,8
67,Fertiliser shortage hits African farmers battling food crisis,4,"This title's use of ""african farmers"" can refer to Tanzania. ",11,11,804,original,0,4,8
68,Tanzania farmers struggle to keep crops alive amid global fertiliser shortage,2,This title is present tense and contains keywords although it's not the main subject of article,11,11,314,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,4,11
69,Tanzania farmers struggling to keep crops alive amid global fertiliser shortage,3,This title contains incorrect grammar.,11,11,824,gpt3,1,4,11
70,Fertilizer Shortage Fuels Fears of Food Scarcity Across Africa,5,The article mentions Africa for only a brief moment. This title is inappropiate,11,11,143,CHPvD2GusIUzZFAkiOpoRaDU1rE3,5,4,9
71,Crisis Fuelling Fears of Food Scarcity Across Africa,6,This title is does not cover the main subject of the article.,11,11,447,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,4,8
72,Remains Discovered in South Africa Could Give Us Better Evolutionary Timeline,5,This title does not match the subject of the article at all,11,12,632,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,19,11
73,researchers use burial dating to accurately date early human fossils,3,This title is too basic and unappealing,11,12,839,gpt3,1,19,10
74,Early human ancestors found in South African cave date back  million years,4,This title lacks relevant information about the article's main subject,11,12,497,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,19,12
75,New dating technique sheds light on early human ancestor fossils,1,This title is clear and conveys the article's subject perfectly,11,12,459,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,19,10
76,New study puts human ancestor Lucy and early hominins from Sterkfontein Caves within same time frame,6,This title is 100% irrelevant to the article,11,12,408,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,19,16
77,Ancient fossils in the 'Cradle of Humankind' are more than 1 million years older than previously thought,2,"This title is eye-catching and creates interest, but does not mention the innovative technique or burial dating",11,12,819,original,0,19,17
78,UN Ocean Conference encourages open sharing of seafloor mapping data,3,"This title's mention of a UN Conference encourages interest, but it does not convey article's main subject",11,13,543,pYsoPM0aang4pLBPqHbUlrc285Y2,3,16,10
79,Increased Mapping of Global Ocean Floor Aids Safe Navigation,1,"This title is concise and contains keywords such as ""mapping of the global ocean"" which is interesting",11,13,386,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,16,9
80,Autonomous Ships May Help Map Hard-To-Reach Areas of Seafloor,2,This title is attractive and suggest there is more to discover about the process,11,13,720,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,16,9
81,Nearly a quarter of Earth's seafloor now mapped,4,This title does not suggest what the article is about. Lacks supplemental information,11,13,816,original,0,16,8
82,"""23.4% of the Global Ocean Floor Has Been Mapped""",6,This title is too much of a stand alone sentence and does not offer what the article is about,11,13,836,gpt3,1,16,9
83,-Seabed  project encourages public to help map the ocean floor,5,"""seabed"" should be changed to Ocean Mapping Project",11,13,758,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,16,10
84,UN Urges Libya Rivals to Agree on Transition to Elections,3,Title is clear but lacking information,11,14,443,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,3,10
85,UN urges Libyan factions to agree on transitional measures for elections,2,Title is concise and perfect length for a news title.,11,14,139,CFhnIRlNuSSnz5UpZM17jMA3pUg1,5,3,11
86,UN hoping for breakthrough in Libyan election talks,4,Title is ok. Very basic and standard.,11,14,334,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,3,8
87,UN urges Libya's rivals to agree on elections this week,3,Title is clear but lacking information,11,14,803,original,0,3,10
88,UN Urges Libya Rivals to Seek Consensus Ahead of Geneva Talks,1,Title contains keywords that makes it more attractive,11,14,462,lSToD6u7LuZJk20NqhMUk3jy22S2,4,3,11
89,Libya's Rival Factions Urged to Reach Agreement on Elections,6,No mention of UN in title,11,14,823,gpt3,1,3,9
90,US and Iran deadlocked in efforts to revive  nuclear deal,2,"Title is appropiate and perfectly sums up article, though a bit basic and standard",11,15,671,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,2,10
91,Indirect Talks Between Iran and U.S. End Without Breakthrough,4,Title does not mention Nuclear deal and thus lacks information and subject,11,15,822,gpt3,1,2,9
92,"U.S., Iran make no progress reviving 2015 nuclear deal ",1,Title is concise and mentions keywords that convey subject of article,11,15,46,7WX00yoU07X1UKaG8WH0cYKB25S2,2,2,9
93,U.S.-Iran nuclear negotiations in Qatar end without breakthrough,3,Title contains keywords and conveys topic of article,11,15,802,original,0,2,8
94,Iran Nuclear Talks End Without Breakthrough,4,"Title missing ""US"" keyword and ""Nuclear Deal""",11,15,184,IUccO19kQBYLnovtvPkCbJuUIZ22,5,2,6
95,Risk of potential confrontation with Iran rises as talks fail to revive nuclear deal,5,Title does not mention Nuclear deal and thus lacks information and subject,11,15,210,LThoEJBs8INX22KfDMJT09LBP8F2,4,2,14
96,Scientists discover new giant bacteria species in the Caribbean,5,Title is ok but not as attention grabbing as previous,11,16,215,LThoEJBs8INX22KfDMJT09LBP8F2,4,18,9
97,Scientists Discover New Bacteria That's the Size of a Human Eyelash,2,This title is eye catching and a must click,11,16,838,gpt3,1,18,11
98,Scientists discover new bacteria species that can be seen with the naked eye,3,This title grabs my attention but is not as compellingas the others,11,16,783,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,18,13
99,"Scientists find largest bacteria to date, challenging limits of what bacteria looks like",1,"This title is clear, most appropiate and an example of titles I commonly see on Yahoo news",11,16,109,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,18,13
100,Photo shows newly-discovered bacteria so large they are visible to the naked eye,4,"Title is ok. With the mention of photos, I'd definitely want to click on the link to find out and see more. ",11,16,818,original,0,18,13
101,Scientists Discover Unusual Giant Bacteria,6,This title is very generic and laacks a wow factor based on content,11,16,2,4G2vztY28Fee0nAkx43fXlepBSg1,2,18,5
102,New booster shots on the way to extend COVID protection,5,"This title is appropiate, but very basic and standard",11,17,794,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,9,10
103,Improved immunity with new COVID  booster shots coming soon,3,The title mentions keywords and a subject somewhat relevant to the article's subject,11,17,114,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,9,9
104,Should you get a COVID-19 booster shot now or wait until fall? Two immunologists help weigh the options,1,This title reflects the content of article most appropiately,11,17,809,original,0,9,18
105," COVID  Vaccines: Immunities Wane Over Time, Booster Shots Necessary",4,The title mentions keywords that are relevant to the article,11,17,495,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,9,9
106,New COVID-19 vaccines on the way: Which one should you choose?,2,"This title suggest a debate over the COVID vaccines, which is what the article is somewhat actually about",11,17,829,gpt3,1,9,11
107,Choosing Best COVID Vaccine Perplexes Scientists,6,This title is not engaging or attractive,11,17,383,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,9,6
108," Charcoal Fragments From Silurian Period Suggest Large, Widespread Fires Occurred",4,"This title contains words that I am not familiar with if I saw the title before th article, ""Silurian Period, and therefore I probably wouldn't read",11,18,193,IUccO19kQBYLnovtvPkCbJuUIZ22,5,15,10
109,New evidence suggests that wildfires were present on Earth 430 million years ago.,1,"This title mentions keywords and numbers. It's also engaging and eye-catching, which makes me want to learn more",11,18,835,gpt3,1,15,13
110,-New evidence reveals that fires were started by lightning strikes millions of years ago,5,This title contains a subject that is not mentioned in the article,11,18,425,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,15,14
111,Charred Remains Suggest That Wildfires Occurred  Million Years Ago,3,This title is eye-catching and appealing but not as good as the previously ranked 2,11,18,796,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,15,9
112,"Wildfires a way of life for nearly 450 million years, new evidence shows.",2,This title is attractive and is enought o grab my attention for further reading,11,18,583,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,15,13
113,Earliest evidence of wildfire found in Wales,6,This title is too basic and standard. Not attractive,11,18,815,original,0,15,7
114,Report: USFS underestimated impact of climate change in planning controlled burn,5,No one knows what USFS is so that automatically makes the title confusing.,11,19,291,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,13,11
115,US Forest Service Report: Impact of Climate Change on Southwest Underestimated,4,The expanding of the USFS acronym causes for too much wordage,11,19,625,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,13,11
116,The Forest Service will have to more effectively factor climate change into its plans,6,"This title is missing ""US""",11,19,312,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,13,14
117,Report: U.S. Forest Service Underestimated Climate Change When Planning Controlled Burn,2,"Great title. Clear and the ""Report"" addition adds more value to the news coverage. It's still not as eye-catching and concise as the 1st ranked",11,19,833,gpt3,1,13,11
118,U.S. Forest Service admits climate change miscalculation in New Mexico fire,3,This title is basic but it clearly conveys the subject of the article,11,19,813,original,0,13,11
119,Controlled Burn in New Mexico Escalates into Largest Fire in State History,1,"This title is concise, captivating, and even though it doesn't mention USFS it is still eye-catching and conveys the subject of article",11,19,192,IUccO19kQBYLnovtvPkCbJuUIZ22,5,13,12
0,Qatar's emir in Cairo for 1st time since Arab spat resolved,6,"Attractive, but not in great taste",1,0,800,original,0,0,11
1,Qatar and Egypt Look to Improve Relations Ahead of Biden's Middle East Trip,1,"Attractive, clear ",1,0,464,lSToD6u7LuZJk20NqhMUk3jy22S2,4,0,13
2,Qatar and Egypt Work to Improve Diplomatic and Economic Ties,2,"Good clarity, but lacking information",1,0,622,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,0,10
3,Qatari Emir Arrives in Cairo For First Visit in Years,4,Lacking key information - why is this significant?,1,0,785,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,0,10
4,Qatar's Emir Arrives in Cairo for Talks with President el-Sissi,5,Lacking some information - what are the talks about?,1,0,820,gpt3,1,0,10
5,Qatari and Egyptian Leaders Meet to Discuss Key Issues,3,"Attractive, but lacking some information",1,0,697,uA2ctpMlrPWUQyFhAUak6O0xDEz1,5,0,9
6,UN Political Chief Urges Libya's Rival Factions to Agree on Elections,2,"Good clairity, mentioned the political chief who is important to this article",1,1,663,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,3,11
7,UN Urges Libya Rivals to Seek Consensus Ahead of Geneva Talks,1,"Good clairity, include all relevent info, attrative",1,1,462,lSToD6u7LuZJk20NqhMUk3jy22S2,4,3,11
8,Libya's Rival Factions Urged to Reach Agreement on Elections,4,Lack of clarity/passive voice,1,1,823,gpt3,1,3,9
9," UN urges Libya's rivals to agree on elections this week
",3,Lack of clarity but active voice,1,1,224,LoDaQFokdGWa9TWBH61EBRf6Q272,5,3,10
10,"Libyan factions reach ""broad consensus"" in election talks",5,"Passive voice, not quite factual",1,1,52,7WX00yoU07X1UKaG8WH0cYKB25S2,2,3,8
11,UN urges Libya's rivals to agree on elections this week,3,This is the same headline as the third.,1,1,803,original,0,3,10
12,Global fertilizer prices skyrocketing due to Russia-Ukraine conflict,1,"Attractive, good clarity, but missing specific countries impacted mentioned in article",1,2,89,7vtosds1eTQWx6qaDn5FwExnVR63,4,4,8
13,Worldwide fertiliser shortage fuels food insecurity fears,6,Missing a lot of key info,1,2,325,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,4,7
14,Tanzania farmers struggle to keep crops alive amid global fertiliser shortage,4,Missing key information (Russia-Ukraine conflict),1,2,700,uIQjNU1bgVfp0K8B7po65McKCZF2,5,4,11
15,Fertiliser shortage hits African farmers battling food crisis,5,Missing key information (Russia-Ukraine conflict),1,2,804,original,0,4,8
16,Fertiliser prices sky-rocket amid Russia-Ukraine conflict,2,Missing key information (who is this affecting?),1,2,570,qiebo7O3TBach9qu1AqrWu2cAB23,3,4,6
17,Tanzania farmers struggling to keep crops alive amid global fertiliser shortage,3,"Good clarity, but missing info about the conflict",1,2,824,gpt3,1,4,11
18,Intact wooly mammoth baby uncovered in northwestern Canada,5,"Good clarity, lacking key info",1,3,817,original,0,17,8
19,Baby woolly mammoth found frozen in permafrost in Canada,2,"Good clarity, lacking some info",1,3,463,lSToD6u7LuZJk20NqhMUk3jy22S2,4,17,9
20,"30,000-year-old baby woolly mammoth found in Canada",3,"Good clarity, attractive ",1,3,837,gpt3,1,17,7
21,Well Preserved Baby Woolly Mammoth Found in Yukon,4,Lacks great clarity,1,3,750,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,17,8
22,"30,000-year-old Woolly Mammoth Uncovered in Canada, First Since 1948",1,"Good clarity, attractive, lacking some info",1,3,639,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,17,9
23,Baby Woolly Mammoth Found Mummified in Yukon,6,"Not quite factual, but attrative",1,3,670,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,17,7
24,"Amid Vaccination Requirement Enforcement and Low Recruitment, US Military Slow to let Unvaccinated Troops go",1,"Good calrity, key information included",1,4,9,4G2vztY28Fee0nAkx43fXlepBSg1,2,5,15
25,Army National Guard Faces Recruiting Crisis Amid Covid Vaccine Deadline,2,"Good clarity, but lacking flow ",1,4,825,gpt3,1,5,10
26,Deadline passes and 1 in 10 Army National Guard soldiers still unvaccinated for Covid. Will they be expelled?,3,"Attractive, but the answer is in the article",1,4,805,original,0,5,18
27,Army National Guard soldiers must be vaccinated for Covid before deadline!,6,"Poor clarity and not true, but attractive",1,4,402,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,5,11
28," Army National Guard misses Covid vaccine deadline, faces recruiting crisis",4,Lacking flow,1,4,245,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,5,10
29,commanders may allow unvaccinated troops to stay for now,5,"Good clarity, but missing information (recruitment? Covid?)",1,4,772,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,5,9
30,-FDA to decide within days if new COVID booster shots are warranted,2,Good clarity but missing information about variants,1,5,471,lSToD6u7LuZJk20NqhMUk3jy22S2,4,6,12
31,US Health Authorities To Discuss Offering New COVID Booster Shots,5,"Fine, but does not mention FDA",1,5,173,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,6,10
32,"Booster Shots Protect Us from Covid-19... For Now, Some Scientist Believe.",4,"Attractive, but lacking clarity",1,5,533,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,6,11
33,U.S. health authorities debate offering new COVID-19 booster shots to better match recent changes in the shape-shifting coronavirus.,1,Good clarity and includes all key information,1,5,826,gpt3,1,6,18
34,New Variants Push Moderna and Pfizer Update COVID Booster Shots,6,Very poor clarity and flow,1,5,112,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,6,10
35,US grapples with whether to modify COVID vaccine for fall,2,Good clarity,1,5,806,original,0,6,10
36,U.S. No Closer to Nuclear Deal with Iran,3,"Good clarity, but lacks some infor",1,6,384,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,2,8
37,Indirect Talks Between Iran and U.S. End Without Breakthrough,4,Attractive but missing the topic,1,6,822,gpt3,1,2,9
38,Iran Nuclear Talks End Without Breakthrough,5,"Fine, but lacking information about the U.S. ",1,6,184,IUccO19kQBYLnovtvPkCbJuUIZ22,5,2,6
39,U.S.-Iran nuclear negotiations in Qatar end without breakthrough,1,"Good clarity, but information about indirect communication seems important and is lacking here",1,6,802,original,0,2,8
40," Iran, US end nuclear deal talks without breakthrough",2,"Fine clarity, but poor flow",1,6,439,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,2,8
41,Doha Talks End Without Progress on Nuclear Deal,6,Lacks clarity,1,6,569,qiebo7O3TBach9qu1AqrWu2cAB23,3,2,8
42,UK Plan to Override Brexit Deal Passes Hurdle With Tory Dissent,4,"Fine clarity, but missing info and not attractive",1,7,801,original,0,1,11
43,EU trade War Looms as Boris Johnson Pushes for Changes to Brexit Deal,1,"Attractive, good clarity",1,7,25,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,1,13
